지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),평균 전운량(1/10),평균 중하층운량(1/10)
105,2016-06-22,20.5,19.7,1,22.3,1035,,1,1548,3,1541,5.5,,
105,2016-06-23,23.5,19.3,312,28.1,1340,,,,,,,,
105,2016-06-24,19.7,17.8,2354,23,1,,1,641,3.5,629,10.5,,
105,2016-06-25,22.6,17.8,1,26.3,1424,,,,,,,,
105,2016-06-26,24.8,20.7,437,28.1,1316,,,,,,,,
105,2016-06-27,24.3,21.4,2336,27.8,1627,,,,,,,,
105,2016-06-28,21,17.8,503,25,1247,,.1,,.1,,.2,,
105,2016-06-29,22.1,19.4,448,26.9,1509,,,,,,,,
105,2016-06-30,24.1,19.8,158,30.8,1456,,2.5,1728,4.5,1728,7,,
105,2016-07-01,24.4,19.9,2340,30.4,1240,,6.5,1805,14,1717,47,,
105,2016-07-02,23.9,19.6,120,29.4,1531,,4,51,12,18,19.5,,
105,2016-07-03,24.8,21.1,2400,28.7,1039,,.1,,.1,,.1,,
105,2016-07-04,20.2,19.6,500,21.1,1,,3.5,2035,11.5,2206,94,,
105,2016-07-05,19.6,17.8,2315,21.5,1316,,6,48,18,14,78,,
105,2016-07-06,18.4,17.5,241,20.1,1445,,2.5,227,5,147,13.5,,
105,2016-07-07,20.3,17.5,153,23.2,1652,,,,,,,,
105,2016-07-08,23.8,19.5,536,30,1335,,,,,,,,
105,2016-07-09,26.3,20.1,549,31.8,1634,,,,,,,,
105,2016-07-10,26.7,23.9,2340,29.9,1305,,,,,,,,
105,2016-07-11,24.8,22.1,554,30.2,1544,,,,,,,,
105,2016-07-12,24.1,22.5,2324,26.5,949,,,,,,,,
105,2016-07-13,24.5,21.4,505,28.2,1402,,,,,,,,
105,2016-07-14,23,20.7,2320,25.7,1755,,13.5,704,28.5,704,51.5,,
105,2016-07-15,22.9,19.4,511,26.4,1345,,,,,,,,
105,2016-07-16,19.8,18.9,848,21.8,1,,6.5,1146,22,626,96,,
105,2016-07-17,20.8,19.6,307,22.1,1112,,1,2058,2,2008,3.5,,
105,2016-07-18,22.1,19.5,452,26.2,1445,,,,,,,,
105,2016-07-19,21.6,19.7,203,23.3,1608,,,,,,,,
105,2016-07-20,22.3,20.3,553,25.5,1517,,.5,607,1,607,1,,
105,2016-07-21,22.2,19.1,443,25.2,1150,,,,,,,,
105,2016-07-22,23.2,19.2,503,27.4,1418,,,,,,,,
