country,score,rank,year,type
誤ｰ罷笈,0.6613,38,2006,economic
誤ｰ罷笈,0.9888,58,2006,education
誤ｰ罷笈,0.9553,110,2006,health
誤ｰ罷笈,0.0375,105,2006,political
誤ｰ罷笈,0.6607,60,2006,overall
誤ｰ罷笈,0.6885,36,2007,economic
誤ｰ罷笈,0.9925,48,2007,education
誤ｰ罷笈,0.9553,116,2007,health
誤ｰ罷笈,0.0375,117,2007,political
誤ｰ罷笈,0.6685,64,2007,overall
誤ｰ罷笈,0.6491,62,2008,economic
誤ｰ罷笈,0.9907,68,2008,education
誤ｰ罷笈,0.9553,118,2008,health
誤ｰ罷笈,0.0413,119,2008,political
誤ｰ罷笈,0.6591,85,2008,overall
誤ｰ罷笈,0.6532,63,2009,economic
誤ｰ罷笈,0.9906,73,2009,education
誤ｰ罷笈,0.9553,122,2009,health
誤ｰ罷笈,0.0413,125,2009,political
誤ｰ罷笈,0.6601,89,2009,overall
誤ｰ罷笈,0.6808,51,2010,economic
誤ｰ罷笈,0.9942,52,2010,education
誤ｰ罷笈,0.937,131,2010,health
誤ｰ罷笈,0.0785,97,2010,political
誤ｰ罷笈,0.6726,78,2010,overall
誤ｰ罷笈,0.7129,38,2011,economic
誤ｰ罷笈,0.9809,87,2011,education
誤ｰ罷笈,0.9268,135,2011,health
誤ｰ罷笈,0.0784,99,2011,political
誤ｰ罷笈,0.6748,78,2011,overall
誤ｰ罷笈,0.6663,63,2012,economic
誤ｰ罷笈,0.989,76,2012,education
誤ｰ罷笈,0.9313,133,2012,health
誤ｰ罷笈,0.0753,105,2012,political
誤ｰ罷笈,0.6655,91,2012,overall
誤ｰ罷笈,0.6324,87,2013,economic
誤ｰ罷笈,0.9755,92,2013,education
誤ｰ罷笈,0.9313,134,2013,health
誤ｰ罷笈,0.0256,130,2013,political
誤ｰ罷笈,0.6412,108,2013,overall
誤ｰ罷笈,0.6534,78,2014,economic
誤ｰ罷笈,0.97,98,2014,education
誤ｰ罷笈,0.9409,139,2014,health
誤ｰ罷笈,0.1834,55,2014,political
誤ｰ罷笈,0.6869,80,2014,overall
誤ｰ罷笈,0.671,69,2015,economic
誤ｰ罷笈,0.972,98,2015,education
誤ｰ罷笈,0.947,142,2015,health
誤ｰ罷笈,0.214,50,2015,political
誤ｰ罷笈,0.701,69,2015,overall
誤ｰ罷笈,0.668,73,2016,economic
誤ｰ罷笈,0.986,88,2016,education
誤ｰ罷笈,0.947,141,2016,health
誤ｰ罷笈,0.214,53,2016,political
誤ｰ罷笈,0.7036,62,2016,overall
護 罹ｦｬ,0.4428,103,2006,economic
護 罹ｦｬ,0.9438,84,2006,education
護 罹ｦｬ,0.9712,78,2006,health
護 罹ｦｬ,0.0495,98,2006,political
護 罹ｦｬ,0.6018,96,2006,overall
護 罹ｦｬ,0.4643,113,2007,economic
護 罹ｦｬ,0.9422,96,2007,education
護 罹ｦｬ,0.9714,85,2007,health
護 罹ｦｬ,0.0495,111,2007,political
護 罹ｦｬ,0.6068,106,2007,overall
護 罹ｦｬ,0.468,115,2008,economic
護 罹ｦｬ,0.9491,96,2008,education
護 罹ｦｬ,0.9714,86,2008,health
護 罹ｦｬ,0.0558,115,2008,political
護 罹ｦｬ,0.6111,109,2008,overall
護 罹ｦｬ,0.4697,119,2009,economic
護 罹ｦｬ,0.9505,99,2009,education
護 罹ｦｬ,0.9714,91,2009,health
