source,target,value
스타벅스,이디야,2347
스타벅스,커피빈,2379
스타벅스,투썸플레이스,2373
스타벅스,카페베네,1206
스타벅스,할리스,1546
스타벅스,탐앤탐스,1508
스타벅스,엔제리너스,894
스타벅스,파스쿠찌,830
스타벅스,요거프레소,583
스타벅스,빽다방,967
스타벅스,커핀그루나루,216
스타벅스,COFFEE BAY,564
스타벅스,Paul Bassett,1230
이디야,스타벅스,2347
이디야,커피빈,433
이디야,투썸플레이스,670
이디야,카페베네,441
이디야,할리스,569
이디야,탐앤탐스,551
이디야,엔제리너스,303
이디야,파스쿠찌,211
이디야,요거프레소,254
이디야,빽다방,401
이디야,커핀그루나루,78
이디야,COFFEE BAY,240
이디야,Paul Bassett,249
커피빈,스타벅스,2379
커피빈,이디야,433
커피빈,투썸플레이스,527
커피빈,카페베네,242
커피빈,할리스,369
커피빈,탐앤탐스,375
커피빈,엔제리너스,215
커피빈,파스쿠찌,219
커피빈,요거프레소,139
커피빈,빽다방,275
커피빈,커핀그루나루,47
커피빈,COFFEE BAY,125
커피빈,Paul Bassett,363
투썸플레이스,스타벅스,2373
투썸플레이스,이디야,670
투썸플레이스,커피빈,527
투썸플레이스,카페베네,312
투썸플레이스,할리스,480
투썸플레이스,탐앤탐스,375
투썸플레이스,엔제리너스,283
투썸플레이스,파스쿠찌,190
투썸플레이스,요거프레소,176
투썸플레이스,빽다방,277
투썸플레이스,커핀그루나루,56
투썸플레이스,COFFEE BAY,148
투썸플레이스,Paul Bassett,289
카페베네,스타벅스,1206
카페베네,이디야,441
카페베네,커피빈,242
카페베네,투썸플레이스,312
카페베네,할리스,287
카페베네,탐앤탐스,313
카페베네,엔제리너스,178
카페베네,파스쿠찌,111
카페베네,요거프레소,112
카페베네,빽다방,175
카페베네,커핀그루나루,52
카페베네,COFFEE BAY,102
카페베네,Paul Bassett,107
할리스,스타벅스,1546
할리스,이디야,569
할리스,커피빈,369
할리스,투썸플레이스,480
할리스,까페베네,287
할리스,탐앤탐스,368
할리스,엔제리너스,229
할리스,파스쿠찌,139
할리스,요거프레소,116
할리스,빽다방,185
할리스,커핀그루나루,80
할리스,COFFEE BAY,96
할리스,Paul Bassett,203
탐앤탐스,스타벅스,1508
탐앤탐스,이디야,551
탐앤탐스,커피빈,375
탐앤탐스,투썸플레이스,375
탐앤탐스,카페베네,313
탐앤탐스,할리스,368
탐앤탐스,엔제리너스,208
탐앤탐스,파스쿠찌,129
탐앤탐스,요거프레소,130
탐앤탐스,빽다방,229
탐앤탐스,커핀그루나루,66
탐앤탐스,COFFEE BAY,112
탐앤탐스,Paul Bassett,136
엔제리너스,스타벅스,894
엔제리너스,이디야,303
엔제리너스,커피빈,215
엔제리너스,투썸플레이스,283
엔제리너스,카페베네,178
엔제리너스,할리스,229
엔제리너스,탐앤탐스,208
엔제리너스,파스쿠찌,95
엔제리너스,요거프레소,74
엔제리너스,빽다방,128
엔제리너스,커핀그루나루,33
엔제리너스,COFFEE BAY,82
엔제리너스,Paul Bassett,122
파스쿠찌,스타벅스,830
파스쿠찌,이디야,211
파스쿠찌,커피빈,219
파스쿠찌,투썸플레이스,190
파스쿠찌,카페베네,111
파스쿠찌,할리스,139
파스쿠찌,탐앤탐스,129
파스쿠찌,엔제리너스,95
파스쿠찌,요거프레소,67
파스쿠찌,빽다방,82
파스쿠찌,커핀그루나루,27
파스쿠찌,COFFEE BAY,38
파스쿠찌,Paul Bassett,112
요거프레소,스타벅스,583
요거프레소,이디야,254
요거프레소,커피빈,139
요거프레소,투썸플레이스,176
요거프레소,카페베네,112
요거프레소,할리스,116
요거프레소,탐앤탐스,130
요거프레소,엔제리너스,74
요거프레소,파스쿠찌,67
요거프레소,빽다방,115
요거프레소,커핀그루나루,26
요거프레소,COFFEE BAY,60
요거프레소,Paul Bassett,49
빽다방,스타벅스,967
빽다방,이디야,401
빽다방,커피빈,275
빽다방,투썸플레이스,277
빽다방,카페베네,175
빽다방,할리스,185
빽다방,탐앤탐스,229
빽다방,엔제리너스,128
빽다방,파스쿠찌,82
빽다방,요거프레소,115
빽다방,커핀그루나루,39
빽다방,COFFEE BAY,106
빽다방,Paul Bassett,103
커핀그루나루,스타벅스,216
커핀그루나루,이디야,78
커핀그루나루,커피빈,47
커핀그루나루,투썸플레이스,56
커핀그루나루,카페베네,52
커핀그루나루,할리스,80
커핀그루나루,탐앤탐스,66
커핀그루나루,엔제리너스,33
커핀그루나루,파스쿠찌,27
커핀그루나루,요거프레소,26
커핀그루나루,빽다방,39
커핀그루나루,COFFEE BAY,9
커핀그루나루,Paul Bassett,20
COFFEE BAY,스타벅스,564
COFFEE BAY,이디야,240
COFFEE BAY,커피빈,125
COFFEE BAY,투썸플레이스,148
COFFEE BAY,카페베네,102
COFFEE BAY,할리스,96
COFFEE BAY,탐앤탐스,112
COFFEE BAY,엔제리너스,82
COFFEE BAY,파스쿠찌,38
COFFEE BAY,요거프레소,60
COFFEE BAY,빽다방,106
COFFEE BAY,커핀그루나루,9
COFFEE BAY,Paul Bassett,75
Paul Bassett,스타벅스,1230
Paul Bassett,이디야,249
Paul Bassett,커피빈,363
Paul Bassett,투썸플레이스,289
Paul Bassett,카페베네,107
Paul Bassett,할리스,203
Paul Bassett,탐앤탐스,136
Paul Bassett,엔제리너스,122
Paul Bassett,파스쿠찌,112
Paul Bassett,요거프레소,49
Paul Bassett,빽다방,103
Paul Bassett,커핀그루나루,20
Paul Bassett,COFFEE BAY,75    
