counrty,area,part,score,rank
Iceland,경제적 참여와 기회,남성대비 여성 노동인구 비율,0.951,10
Iceland,경제적 참여와 기회,임금 수준에서의 격차,0.789,11
Iceland,경제적 참여와 기회,승진에서의 격차,0.72,23
Iceland,경제적 참여와 기회,남성대비 여성 고위직 비율,0.617,29
Iceland,경제적 참여와 기회,남성대비 여성 기술직 근로자 비율,1,1
Iceland,교육 참여,남성 대비 여성 문해율,1,1
Iceland,교육 참여,초등학교 진학률 차이,1,1
Iceland,교육 참여,중학교 진학률 차이,1,1
Iceland,교육 참여,고등학교 및 대학 이상 진학률 차이,1,1
Iceland,건강과 생존,신생아 성비,0.918,1
Iceland,건강과 생존,성별 기대수명의 차이,1.043,117
Iceland,정치적 권한,국회의원 성비 차이,0.703,12
Iceland,정치적 권한,장관급 인사 성비차이,0.8,9
Iceland,정치적 권한,최근 50년 사이의 총리 및 대통령 중 여성비율,0.685,4
Fiinland,경제적 참여와 기회,남성대비 여성 노동인구 비율,0.966,8
Fiinland,경제적 참여와 기회,임금 수준에서의 격차,0.799,6
Fiinland,경제적 참여와 기회,승진에서의 격차,0.709,26
Fiinland,경제적 참여와 기회,남성대비 여성 고위직 비율,0.508,55
Fiinland,경제적 참여와 기회,남성대비 여성 기술직 근로자 비율,1,1
Fiinland,교육 참여,남성 대비 여성 문해율,1,1
Fiinland,교육 참여,초등학교 진학률 차이,1,1
Fiinland,교육 참여,중학교 진학률 차이,1,1
Fiinland,교육 참여,고등학교 및 대학 이상 진학률 차이,1,1
Fiinland,건강과 생존,신생아 성비,0.944,1
Fiinland,건강과 생존,성별 기대수명의 차이,1.06,1
Fiinland,정치적 권한,국회의원 성비 차이,0.709,9
Fiinland,정치적 권한,장관급 인사 성비차이,1,1
Fiinland,정치적 권한,최근 50년 사이의 총리 및 대통령 중 여성비율,0.316,8
Norway,경제적 참여와 기회,남성대비 여성 노동인구 비율,0.948,13
Norway,경제적 참여와 기회,임금 수준에서의 격차,0.806,5
Norway,경제적 참여와 기회,승진에서의 격차,0.79,10
Norway,경제적 참여와 기회,남성대비 여성 고위직 비율,0.563,39
Norway,경제적 참여와 기회,남성대비 여성 기술직 근로자 비율,1,1
Norway,교육 참여,남성 대비 여성 문해율,1,1
Norway,교육 참여,초등학교 진학률 차이,1,62
Norway,교육 참여,중학교 진학률 차이,1,1
Norway,교육 참여,고등학교 및 대학 이상 진학률 차이,1,1
Norway,건강과 생존,신생아 성비,0.943,95
Norway,건강과 생존,성별 기대수명의 차이,1.043,81
Norway,정치적 권한,국회의원 성비 차이,0.657,14
Norway,정치적 권한,장관급 인사 성비차이,0.889,5
Norway,정치적 권한,최근 50년 사이의 총리 및 대통령 중 여성비율,0.344,7
Sweden,경제적 참여와 기회,남성대비 여성 노동인구 비율,0.949,12
Sweden,경제적 참여와 기회,임금 수준에서의 격차,0.715,35
Sweden,경제적 참여와 기회,승진에서의 격차,0.784,11
Sweden,경제적 참여와 기회,남성대비 여성 고위직 비율,0.654,24
Sweden,경제적 참여와 기회,남성대비 여성 기술직 근로자 비율,1,1
Sweden,교육 참여,남성 대비 여성 문해율,1,1
Sweden,교육 참여,초등학교 진학률 차이,1,1
Sweden,교육 참여,중학교 진학률 차이,0.997,95
Sweden,교육 참여,고등학교 및 대학 이상 진학률 차이,1,1
Sweden,건강과 생존,신생아 성비,0.943,95
Sweden,건강과 생존,성별 기대수명의 차이,1.043,84
Sweden,정치적 권한,국회의원 성비 차이,0.772,4
Sweden,정치적 권한,장관급 인사 성비차이,1,1
Sweden,정치적 권한,최근 50년 사이의 총리 및 대통령 중 여성비율,0,68
Rwanda,경제적 참여와 기회,남성대비 여성 노동인구 비율,1,1
Rwanda,경제적 참여와 기회,임금 수준에서의 격차,0.877,1
Rwanda,경제적 참여와 기회,승진에서의 격차,0.821,8
Rwanda,경제적 참여와 기회,남성대비 여성 고위직 비율,0.514,50
Rwanda,경제적 참여와 기회,남성대비 여성 기술직 근로자 비율,0.726,95
Rwanda,교육 참여,남성 대비 여성 문해율,0.914,108
Rwanda,교육 참여,초등학교 진학률 차이,1,1
Rwanda,교육 참여,중학교 진학률 차이,1,1
Rwanda,교육 참여,고등학교 및 대학 이상 진학률 차이,0.785,110
Rwanda,건강과 생존,신생아 성비,0.944,1
Rwanda,건강과 생존,성별 기대수명의 차이,1.036,100
Rwanda,정치적 권한,국회의원 성비 차이,1,1
Rwanda,정치적 권한,장관급 인사 성비차이,0.55,15
Rwanda,정치적 권한,최근 50년 사이의 총리 및 대통령 중 여성비율,0.015,52
