구분1,평일,토요일,일요일,,
서울,"1,316","1,319","1,321",,
부산,"1,187","1,196","1,211",,
대구,"1,075","1,080","1,090",,
인천,"1,333","1,355","1,374",,
광주,"1,048","1,039","1,047",,
대전,"1,209","1,214","1,216",,
울산,"1,287","1,332","1,397",,
세종,"1,186","1,180","1,187",,
경기,"1,424","1,449","1,457",,
강원,"1,172","1,214","1,223",,
충북,"1,181","1,213","1,220",,
충남,"1,312","1,347","1,360",,
전북,"1,203","1,235","1,238",,
전남,"1,175","1,200","1,218",,
경북,"1,222","1,253","1,268",,
경남,"1,215","1,235","1,253",,
제주,"1,367","1,451","1,498",,
