구분1,평일,토요일,일요일
서울,"9,436,580","7,806,058","5,613,077"
부산,"1,872,656","1,672,704","1,226,905"
대구,"1,049,637","931,141","669,183"
인천,"1,284,078","1,082,219","790,530"
광주,"382,636","308,984","223,476"
대전,"464,931","391,296","286,315"
울산,"264,324","228,738","168,063"
세종,"29,155","21,114","16,377"
경기,"4,913,685","4,033,775","3,024,588"
강원,"147,130","115,480","86,501"
충북,"192,956","150,202","111,380"
충남,"231,478","184,414","137,080"
전북,"195,786","146,206","98,642"
전남,"185,577","149,073","107,627"
경북,"262,353","215,377","159,983"
경남,"451,776","372,824","263,386"
제주,"100,344","76,724","61,554"
