매장명,평균방문횟수,최초방문,재방문,1회,2회,3회,4회,한매장,다수매장
스타벅스,179,73%,27%,73%,15%,5%,8%,66%,34%
탐앤탐스,105,75%,25%,75%,12%,5%,9%,62%,38%
할리스,105,81%,19%,81%,10%,3%,6%,61%,39%
투썸플레이스,98,81%,19%,81%,11%,3%,6%,61%,39%
Paul Bassett,97,81%,19%,81%,10%,4%,5%,61%,39%
엔제리너스,91,81%,19%,81%,10%,3%,5%,60%,40%
커피빈,87,82%,18%,82%,10%,3%,5%,59%,41%
빽다방,73,83%,17%,83%,9%,3%,5%,57%,43%
파스쿠찌,71,84%,16%,84%,9%,2%,5%,56%,44%
커핀그루나루,59,84%,16%,84%,9%,3%,4%,55%,45%
이디야,55,84%,16%,84%,9%,3%,5%,54%,46%
카페베네,52,85%,15%,85%,9%,2%,4%,54%,46%
COFFEE BAY,51,85%,15%,85%,8%,2%,4%,53%,47%
요거프레소,40,86%,14%,86%,7%,2%,4%,44%,56%
